1,9368,-820,11844,-1280,-612,136
2,5276,13728,8548,-1024,-831,-128
3,-3072,15312,4172,3904,199,108
4,-3992,14552,6516,-2000,357,-89
5,-10232,-9332,10172,-1632,-354,897
6,-4968,12792,10148,-1184,-43,-306
0,-3920,14980,10008,-98,-212,-153
1,9680,-1252,12112,-1264,-623,103
2,5488,13372,9436,-1008,-791,-36
3,-3448,15332,4352,3904,196,231
4,-3688,14504,6208,-1968,356,2
5,-10740,-9308,10164,-1648,-237,576
6,-5404,12592,10644,-1152,-4,-219
0,-3764,14936,9972,2,11,-106
1,9428,-1088,11704,-1280,-481,284
2,5308,13504,9208,-1024,-741,151
3,-3244,15376,4256,3936,301,396
4,-3896,14564,6388,-2016,356,117
5,-10372,-9520,10144,-1616,-305,441
6,-5148,12724,10244,-1168,-124,-48
0,-4016,15008,9952,4,83,-105
1,9436,-1068,11952,-1264,-324,196
2,5032,13656,9008,-1040,-666,175
3,-3364,15296,4396,3840,255,369
4,-3876,14472,6260,-2000,396,25
5,-10164,-9500,10168,-1616,-259,442
6,-5400,12676,10476,-1152,-63,-117
0,-4044,14888,9956,18,-89,-124
1,9672,-904,11908,-1248,-372,86
2,4960,13476,9056,-1040,-660,-46
3,-3240,15424,3880,3952,236,249
4,-3840,14592,6484,-2016,406,51
5,-10120,-9336,10168,-1616,-277,388
6,-5308,12700,10284,-1184,-139,-295
0,-4016,14964,9972,-37,-145,-67
1,9448,-968,11852,-1248,-419,76
2,5500,13356,9524,-1040,-423,31
3,-3144,15300,4588,3904,254,261
4,-3872,14460,6180,-1984,362,8
5,-10560,-9360,10244,-1632,-306,501
6,-5260,12760,10444,-1184,-82,-35
0,-3936,14988,9976,35,74,-101
1,9656,-1052,11812,-1248,-421,110
2,5036,13520,9256,-1008,-301,103
3,-3476,15412,4176,3888,256,467
4,-3896,14556,6360,-1984,390,150
5,-10340,-9380,9948,-1632,-291,394
6,-5292,12916,10256,-1168,-83,8
0,-4056,14980,10052,18,54,-11
1,9432,-1056,11888,-1264,-382,85
2,5176,13740,8676,-992,-367,143
3,-3076,15388,4180,3952,236,433
4,-4068,14460,6264,-1984,355,42
5,-10268,-9532,10156,-1584,-271,364
6,-5104,12564,10684,-1184,-71,-66
0,-4064,14964,9900,5,-25,-82
1,9756,-776,11624,-1280,-430,113
2,4860,13508,9096,-992,-578,-23
3,-3488,15348,4316,3904,318,297
4,-4040,14524,6332,-2000,403,-18
5,-10044,-9292,9768,-1632,-242,574
6,-5372,12704,10240,-1168,-73,-186
0,-4056,14940,10028,45,-220,-69
1,9404,-1160,11912,-1264,-538,46
2,5020,13388,8912,-992,-630,-81
3,-3292,15312,3896,3904,235,242
4,-3924,14628,6724,-1968,308,-48
5,-10400,-9152,10076,-1648,-376,525
6,-5264,12808,10052,-1168,-167,-231
0,-3996,14956,9980,-76,-129,-22
1,9444,-1136,11964,-1280,-457,-28
2,5268,13488,8984,-1040,-732,60
3,-3556,15232,4364,3872,156,375
4,-3820,14572,6320,-2000,261,130
5,-10464,-9532,10080,-1600,-392,395
6,-5304,12620,10648,-1152,-129,-142
0,-3996,14840,9896,-71,15,-82
1,9692,-784,11772,-1280,-426,175
2,5280,13428,9680,-976,-624,-1
3,-3452,15264,4480,3968,342,273
4,-4032,14496,6172,-2000,359,-8
5,-10392,-9708,10268,-1616,-266,303
6,-5204,12608,10676,-1184,-17,-221
0,-4028,14884,10016,93,-110,-3
1,9588,-1128,11832,-1264,-323,152
2,5196,13508,9048,-1024,-418,4
3,-3368,15260,4592,3904,491,244
4,-3876,14588,6332,-1984,452,-106
5,-10444,-9448,10316,-1616,-167,165
6,-5320,12668,10352,-1136,139,-153
0,-3948,14924,10096,165,-17,-24
1,9576,-1128,11868,-1248,-235,231
2,5092,13368,9448,-1008,-249,12
3,-3284,15304,4444,3872,488,387
4,-3764,14588,6440,-2016,444,-52
5,-10380,-9428,10120,-1600,-115,66
6,-5232,12568,10656,-1168,210,-58
0,-3972,14848,10008,173,115,2
1,9616,-1132,11816,-1232,-195,232
2,5204,13588,8868,-976,-180,136
3,-3268,15364,4288,3872,659,473
4,-3944,14504,6344,-2016,480,32
5,-10308,-9444,9924,-1616,-98,87
6,-5236,12756,10220,-1168,176,-29
0,-4088,14996,10156,189,-8,3
1,9368,-756,11556,-1248,-335,210
2,5088,13612,8688,-992,-422,-4
3,-3168,15308,3860,3904,460,372
4,-4068,14556,6696,-2000,412,-7
5,-10208,-9276,10036,-1616,-206,458
6,-4960,12680,10096,-1168,-169,-69
0,-4080,15012,10016,-6,-63,-74
1,9384,-972,11532,-1216,-557,44
2,5136,13428,8928,-992,-720,35
3,-3168,15300,4216,3904,185,328
4,-3980,14512,6592,-1984,347,120
5,-10260,-9568,10132,-1632,-346,650
6,-5400,12504,10560,-1184,-166,-106
0,-3992,14952,9880,-32,-75,-109
1,9692,-1076,11984,-1280,-569,39
2,5292,13560,9120,-1040,-522,29
3,-3508,15344,4344,3888,264,308
4,-3888,14484,6432,-2000,396,23
5,-10720,-9536,10132,-1616,-293,421
6,-5400,12532,10648,-1168,-31,-170
0,-3936,14952,9996,67,16,-19
1,9428,-1196,11984,-1312,-307,203
2,5408,13352,9548,-992,-351,135
3,-3292,15248,4712,3840,365,347
4,-3808,14400,6368,-2016,371,41
5,-10468,-9508,10200,-1600,-180,257
6,-5324,12580,10596,-1184,48,-15
0,-3904,14960,10072,162,136,-32
1,9672,-868,11700,-1264,-182,309
2,5348,13332,9164,-992,-433,93
3,-3472,15316,4220,3872,503,477
4,-4012,14484,6572,-2000,416,54
5,-10236,-9480,10120,-1600,-167,56
6,-5360,12640,10404,-1184,105,-119
0,-4068,14960,10016,178,-49,-11
1,9528,-944,11804,-1280,-209,201
2,5064,13636,8684,-1024,-534,-56
3,-3284,15324,4240,3872,433,200
4,-3968,14468,6656,-2016,456,-123
5,-10120,-9648,9948,-1648,-105,148
6,-5072,12708,10120,-1184,106,-370
0,-4056,14988,9960,90,-220,-40
1,9556,-848,11672,-1264,-283,104
2,5236,13428,9004,-1008,-680,-166
3,-3192,15252,3968,3904,229,112
4,-3904,14560,6608,-1984,405,-126
5,-10132,-9156,9996,-1632,-191,352
6,-5100,12724,10212,-1184,-85,-286
0,-3812,14968,10224,16,-136,-43
1,9432,-1196,11764,-1248,-386,88
2,5340,13480,9144,-992,-675,18
3,-3140,15276,4320,3904,107,281
4,-3800,14500,6520,-2000,309,0
5,-10444,-9536,10012,-1664,-317,209
6,-5328,12556,10524,-1152,-131,-184
0,-3832,14924,10136,34,37,-31
1,9564,-972,11920,-1248,-266,182
2,5368,13484,9248,-976,-638,67
3,-3332,15348,4588,3904,236,393
4,-3888,14520,6572,-2016,379,87
5,-10192,-9652,10272,-1600,-268,-5
6,-5076,12580,10752,-1168,53,-256
0,-4012,14916,10096,42,5,-27
1,9440,-772,11696,-1296,-307,170
2,5372,13384,9280,-992,-612,-47
3,-3080,15264,4516,3888,382,230
4,-3944,14540,6576,-1968,465,-20
5,-10288,-9360,10020,-1632,-141,255
6,-4852,12768,10328,-1184,42,-242
0,-3836,15032,10048,90,-61,-96
1,9368,-980,11712,-1296,-514,177
2,5288,13576,9192,-1024,-711,0
3,-2996,15312,4348,3872,366,344
4,-3772,14568,6652,-2016,426,102
5,-10484,-9428,10316,-1600,-207,360
6,-5164,12668,10384,-1184,-66,8
0,-3804,14940,10104,64,77,-80
1,9484,-1128,11784,-1248,-351,215
2,4768,12908,9396,-1008,-846,106
3,-3440,15260,4776,3888,425,628
4,-3708,14532,6328,-2000,420,117
5,-10356,-9400,10080,-1600,-225,247
6,-5260,12620,10708,-1168,1,226
0,-4028,14852,9768,153,131,-42
1,9564,-880,12008,-1280,-195,214
2,5324,13384,9520,-1008,-458,53
3,-3284,15452,3756,3872,393,405
4,-3916,14600,6476,-2016,423,3
5,-10132,-9584,10300,-1632,-139,332
6,-5100,12728,9988,-1152,-105,-61
0,-3984,14972,10072,103,-35,-113
1,9132,-820,11616,-1280,-385,177
2,5292,13500,8868,-1008,-798,38
3,-3204,15244,4044,3968,304,290
4,-3972,14440,6556,-1984,345,-11
5,-10124,-9460,10008,-1616,-246,529
6,-5160,12740,10076,-1152,-142,-95
0,-4036,14864,9988,6,-118,-91
1,9560,-940,11952,-1248,-429,61
2,5140,13360,9588,-992,-533,67
3,-3436,15332,4680,3904,329,377
4,-3740,14560,6292,-2016,385,-62
5,-10528,-9392,10276,-1616,-175,472
6,-5316,12472,10552,-1200,-97,-42
0,-4000,14876,10004,99,-41,-60
1,9624,-1200,11856,-1264,-339,172
2,4956,13480,9292,-1040,-597,66
3,-3316,15352,4180,3968,302,343
4,-4088,14492,6500,-1984,446,88
5,-10240,-9396,10028,-1616,-204,239
6,-5480,12568,10192,-1184,-102,-130
0,-4144,15004,10032,90,-24,-29
1,9548,-1008,11776,-1264,-354,302
2,5292,13552,8736,-1024,-682,5
3,-3664,15544,4432,3872,229,44
4,-4020,14508,6104,-1984,407,-128
