1,6524,14544,1680,-1488,-620,44
2,180,-16344,936,-1168,-667,222
3,-2732,-16100,2416,4048,211,560
4,1048,15736,3956,-1632,206,-76
5,-3420,-12804,11124,-2064,-437,594
6,-1740,-15288,5820,-1216,-213,110
0,-1652,16628,3588,-153,-154,-174
1,6444,14484,1644,-1472,-691,100
2,260,-16308,836,-1184,-711,244
3,-2588,-16036,2384,3952,66,572
4,892,15720,3996,-1632,89,28
5,-3360,-12912,11104,-2080,-525,661
6,-1920,-15356,5732,-1216,-336,127
0,-1660,16568,3616,-260,-157,-230
1,6592,14448,1852,-1488,-748,104
2,164,-16540,748,-1152,-743,223
3,-2740,-16264,2404,4000,82,563
4,928,15740,3764,-1632,77,-17
5,-3656,-13104,11176,-2080,-449,610
6,-1864,-15476,5576,-1232,-240,82
0,-1668,16492,3748,-214,-68,-220
1,6648,14416,1796,-1472,-680,146
2,40,-16408,908,-1168,-741,168
3,-2712,-16068,2276,4048,83,547
4,956,15756,4072,-1600,117,29
5,-3672,-13004,11084,-2064,-515,618
6,-1896,-15352,5668,-1248,-280,73
0,-1808,16584,3708,-206,-87,-264
1,6520,14388,1944,-1472,-726,174
2,136,-16424,908,-1168,-763,157
3,-2724,-16160,2260,3952,56,515
4,940,15728,3976,-1616,74,-15
5,-3644,-13056,11020,-2080,-560,633
6,-1840,-15372,5688,-1232,-322,106
0,-1824,16476,3752,-297,-74,-225
1,6612,14452,1888,-1504,-728,135
2,140,-16484,704,-1168,-782,200
3,-2720,-16144,2160,3952,86,559
4,1012,15764,3908,-1616,76,-12
5,-3744,-12960,10888,-2048,-523,645
6,-1932,-15424,5516,-1232,-307,140
0,-1732,16512,3768,-248,-162,-204
1,6520,14448,2012,-1488,-722,98
2,80,-16540,712,-1168,-755,251
3,-2732,-16276,2192,4016,84,579
4,1156,15692,4100,-1648,99,-22
5,-3740,-13148,11104,-2096,-473,623
6,-1968,-15384,5604,-1264,-277,80
0,-1648,16496,3924,-231,-109,-161
1,6776,14296,2136,-1456,-632,169
2,40,-16512,508,-1184,-737,136
3,-2704,-16164,2016,4000,106,461
4,1092,15668,4024,-1632,139,44
5,-3752,-13160,11008,-2064,-500,518
6,-2100,-15516,5708,-1232,-256,16
0,-1592,16496,3988,-162,-15,-176
1,6956,14400,1936,-1456,-538,241
2,20,-16532,508,-1152,-669,57
3,-2676,-16356,2088,3952,202,368
4,1032,15712,3992,-1600,203,8
5,-3636,-13336,10932,-2080,-396,423
6,-1724,-15532,5392,-1232,-136,-54
0,-1616,16396,3952,-53,32,-94
1,6840,14184,1796,-1456,-471,192
2,156,-16472,544,-1200,-563,42
3,-2644,-16256,2036,4000,311,350
4,1056,15600,4080,-1632,307,22
5,-3696,-13396,10836,-2096,-326,366
6,-1756,-15616,5308,-1232,-40,-94
0,-1672,16476,3956,33,61,-31
1,6936,14240,2032,-1456,-338,163
2,192,-16488,640,-1184,-459,35
3,-2564,-16208,1972,4048,404,327
4,1068,15716,4280,-1632,415,-27
5,-3568,-13096,10880,-2064,-266,356
6,-1952,-15288,5432,-1264,-33,-80
0,-1700,16664,3996,3,2,-37
1,6828,14536,1664,-1456,-441,155
2,120,-16424,656,-1184,-538,104
3,-2512,-16200,2156,3936,306,412
4,1176,15768,4288,-1616,305,-47
5,-3424,-13240,11068,-2080,-365,468
6,-1540,-15472,5556,-1216,-113,2
0,-1660,16588,3844,-31,-72,-48
1,6872,14504,1840,-1472,-533,93
2,360,-16600,660,-1168,-553,185
3,-2436,-16324,2156,4016,319,516
4,1020,15512,4120,-1632,303,-119
5,-3396,-13344,10900,-2064,-296,539
6,-1608,-15644,5552,-1264,-47,122
0,-1524,16504,3924,20,-187,-72
1,6884,14376,1784,-1488,-564,-38
2,264,-16576,452,-1184,-481,282
3,-2448,-16256,2144,3952,417,577
4,1192,15688,3960,-1632,382,-198
5,-3492,-13164,10980,-2112,-186,534
6,-1852,-15604,5536,-1232,34,142
0,-1460,16596,4012,93,-135,-150
1,7148,14352,1824,-1488,-533,75
2,220,-16604,372,-1168,-449,188
3,-2604,-16268,1972,3952,429,462
4,1240,15616,4076,-1616,410,-18
5,-3440,-13172,11012,-2080,-171,445
6,-1680,-15528,5404,-1264,34,-3
0,-1452,16548,3944,70,17,-231
1,7140,14372,1880,-1472,-515,263
