1,4224,15584,-1652,-1680,-743,406
2,2504,-16204,-1228,-976,-710,-315
3,1356,-14628,-7928,4288,72,53
4,-1836,16104,2816,2048,436,-180
5,-4940,-12180,12012,-1760,-594,300
6,996,-16240,2704,608,-268,303
0,-2672,15964,676,-167,69,-150
1,4636,15800,-1680,-1664,-659,93
2,2744,-16428,-1488,-960,-593,80
3,1412,-14596,-8164,4240,339,377
4,-1976,15992,2368,2000,328,15
5,-5072,-12444,11668,-1776,-162,548
6,1056,-16244,2336,608,93,-196
0,-2720,15840,908,270,-291,-119
1,5144,15516,-1384,-1680,-846,-309
2,2536,-16304,-1684,-976,-212,463
3,1228,-14468,-8280,4224,750,700
4,-1868,16064,2764,2048,274,137
5,-5160,-12060,11960,-1744,289,592
6,640,-16148,2396,592,413,-403
0,-2396,16196,1192,443,-300,-9
1,5208,15492,-1336,-1696,-908,-304
2,2220,-16304,-1608,-992,-73,339
3,1012,-14568,-8124,4288,915,527
4,-1900,16096,2836,2048,420,29
5,-5192,-11564,12188,-1776,266,334
6,432,-15824,2744,576,462,3
0,-2180,16480,1160,276,131,-117
1,4988,15328,-944,-1680,-973,224
2,2144,-16032,-1488,-1008,-233,-234
3,-140,-15532,-7420,4304,794,93
4,-1772,16052,2804,2032,483,-354
5,-6068,-10096,11324,-1728,-129,-133
6,352,-14948,2376,592,47,296
0,-2404,16468,668,-216,439,-230
1,4708,15396,-1464,-1696,-1117,721
2,2744,-16360,-1084,-992,-560,-537
3,1140,-14676,-8060,4256,310,-175
4,-1756,16156,2588,2032,428,-280
5,-5388,-12000,12616,-1728,-381,80
6,656,-16232,2572,576,-311,721
0,-2532,16004,1136,-261,446,-147
1,4572,15616,-1716,-1712,-969,514
2,2356,-15940,-1124,-960,-573,-424
3,1200,-14668,-7664,4320,493,66
4,-1944,15928,2772,2032,422,-87
5,-4624,-11712,12140,-1712,-285,284
6,728,-16032,3088,608,118,373
0,-2488,16152,804,-360,186,-169
1,4316,15428,-1416,-1696,-836,437
2,2412,-16164,-980,-976,-629,-576
3,1200,-14704,-7324,4256,623,195
4,-1768,16016,2752,2000,359,71
5,-4972,-11292,12076,-1760,-295,200
6,640,-15688,2996,576,-1,300
0,-2500,16308,696,-604,84,-154
1,4568,15764,-1692,-1680,-1027,467
2,2580,-16248,-1100,-992,-840,-365
3,1320,-14816,-7936,4240,283,143
4,-1680,16064,2624,2000,230,40
5,-5232,-11840,12148,-1760,-307,404
6,720,-16096,2684,528,12,277
0,-2528,15832,940,-450,-27,-27
1,5048,15284,-1388,-1696,-800,203
2,2432,-15936,-1388,-976,-711,-24
3,1352,-14264,-7904,4240,324,432
4,-1664,15988,2572,2064,170,204
5,-4980,-12164,11816,-1760,-270,432
6,1000,-16188,2496,576,22,17
0,-2464,15984,904,-232,-244,159
1,4764,15480,-1468,-1664,-665,-226
2,2836,-16212,-1328,-992,-621,375
3,1404,-14568,-8124,4240,574,756
4,-1788,16092,2572,2016,223,239
5,-4892,-11820,11952,-1760,-79,430
6,752,-15844,2584,576,66,-112
0,-2160,16340,1136,-216,-197,160
1,5316,15376,-1288,-1712,-1218,-234
2,2372,-16052,-1612,-976,-689,100
3,1228,-14376,-7984,4224,299,514
4,-1524,16052,2748,2032,262,-1
5,-4932,-11524,12384,-1760,-446,241
6,844,-16108,2776,592,-93,270
0,-2092,16280,1232,-323,192,-73
1,5656,15676,-1344,-1648,-1002,213
2,2588,-16400,-1788,-976,-522,-246
3,1388,-14388,-8200,4224,392,118
4,-1756,16152,2676,2016,221,-308
5,-4748,-11624,11716,-1760,-424,141
6,764,-15548,2468,592,-80,440
0,-2256,16188,1248,-266,261,-234
1,4828,15196,-892,-1680,-1183,336
2,2632,-16304,-1676,-928,-555,-340
3,1480,-14692,-8184,4240,328,48
4,-1712,15996,2688,2032,362,-141
5,-5064,-12452,12200,-1760,-279,172
6,1004,-16452,2616,576,156,359
0,-2560,16100,984,-73,209,-88
1,5124,15656,-1524,-1680,-754,227
2,2780,-16100,-1708,-944,-306,-43
3,1532,-14180,-8168,4256,567,313
4,-1828,16004,2972,2032,264,10
5,-4600,-11880,11736,-1728,-169,347
6,1032,-15824,2384,592,75,14
0,-2484,16276,1156,2,-81,-104
1,5076,15600,-1424,-1664,-1012,-22
2,2520,-16168,-1636,-992,-418,149
3,1380,-14440,-8152,4240,430,441
4,-1716,16092,2880,2048,350,-87
5,-4992,-12088,12036,-1744,-176,459
6,768,-16176,2684,544,69,15
0,-2300,16252,1272,82,-1,-180
1,5412,15428,-900,-1680,-997,93
2,2404,-16396,-1676,-992,-272,1
3,1268,-14464,-8208,4288,643,234
4,-1724,16060,2708,2048,340,-219
5,-5004,-11792,12052,-1728,-35,303
6,768,-15976,2540,592,278,197
0,-2324,16236,1124,211,211,-249
1,5020,15304,-512,-1680,-618,360
2,2372,-16184,-1752,-976,-193,-212
3,1168,-14516,-8164,4288,678,34
4,-1652,15956,2916,2032,423,-232
5,-5184,-11848,12168,-1760,-49,176
6,608,-16128,2724,608,348,386
0,-2644,16172,1000,125,357,-146
1,4884,15724,-1868,-1664,-1249,308
2,2436,-15964,-1500,-1008,-250,-256
3,1276,-14280,-7876,4240,622,118
4,-1940,16084,2860,2048,346,-252
