1,13536,9600,-1132,-944,-676,-510
2,5016,14360,7892,-704,-117,-662
3,-7304,12212,8204,4192,1133,-177
4,-56,12836,9672,-1568,567,-691
5,-14048,-10028,1340,-1168,-276,512
6,-10068,-15504,1900,-992,130,-158
0,-1948,15724,10052,436,-517,461
1,13924,9384,-252,-960,-836,-205
2,4976,14732,7172,-688,-487,-131
3,-6896,12668,7136,4128,102,493
4,484,13036,9892,-1552,475,175
5,-12332,-10136,1716,-1168,-760,352
6,-8204,-13984,1772,-1008,-403,-527
0,-1884,15612,10032,-11,545,400
1,14504,9660,-592,-896,-58,878
2,5860,14832,6668,-736,-1261,438
3,-5476,12604,7320,4176,-107,828
4,36,13072,10020,-1552,585,996
5,-11836,-10492,1208,-1184,-1635,11
6,-7040,-14788,1620,-1024,-1255,-819
0,-2324,15608,9632,-333,815,84
1,14504,9668,-1788,-944,211,1230
2,5048,14140,7888,-688,-1320,564
3,-8264,11256,12952,4224,1702,1045
4,-280,12712,9376,-1536,672,746
5,-12236,-11412,1688,-1152,-452,-240
6,-7360,-16152,2148,-1040,221,-488
0,-2356,14648,9264,421,472,-25
1,13964,9484,-1912,-928,-141,522
2,4972,13564,9568,-704,-738,-298
3,-6924,11984,9040,4128,3190,666
4,-152,12812,9700,-1568,905,-587
5,-12064,-11104,1148,-1184,474,-449
6,-7164,-15256,1856,-1024,1135,-351
0,-2080,15484,9852,746,33,111
1,13856,9456,-1284,-928,-121,-288
2,4960,14660,7092,-736,-311,-412
3,-7344,12508,7520,4352,2133,314
4,-32,12980,9840,-1600,785,-523
5,-12228,-11296,1752,-1152,777,-279
6,-7284,-15588,2408,-1008,1565,-194
0,-2112,15124,9348,791,22,119
1,13420,9388,-1036,-928,80,-157
2,4832,14040,8464,-704,-780,-942
3,-6848,12480,7944,4240,3600,141
4,128,13048,9676,-1568,695,-957
5,-11568,-9892,472,-1168,882,-669
6,-7084,-12944,1024,-1040,1398,-399
0,-2096,16244,9992,772,-65,105
1,13956,9616,-1400,-928,-408,-496
2,5380,15084,6360,-720,-677,-458
3,-4564,13820,4400,4224,561,527
4,100,13280,10444,-1584,770,171
5,-11220,-10188,1868,-1136,-600,333
6,-6660,-13424,2308,-1024,-418,-190
0,-1904,16212,9688,-396,438,-302
1,14396,9720,-1404,-928,-248,889
2,6456,14816,6260,-688,-1651,753
3,-5232,12984,7252,4224,-173,1192
4,160,13140,9564,-1536,514,1248
5,-11820,-10720,2080,-1152,-1331,403
6,-7268,-14564,2336,-1024,-1136,-404
0,-1760,15636,9136,-670,877,-435
1,13100,9248,-1236,-928,-85,1260
2,4716,14036,8340,-704,-1078,1269
3,-7152,12868,6700,4192,-1062,1266
4,320,13192,9528,-1584,397,1485
