1,13772,8928,-5880,-992,144,800
2,4912,15000,6452,-880,-1813,880
3,-6580,13876,5908,4128,-1638,837
4,-1876,15948,3532,-1760,69,443
5,-9864,-13044,4736,-1248,-1835,262
6,-6760,-15364,5008,-960,-1499,-837
0,-3904,16144,4416,-374,335,-111
1,13816,9028,-6312,-944,-378,674
2,3632,14672,8080,-896,-2039,327
3,-6732,13484,8648,4144,-69,259
4,-1980,15820,3096,-1792,204,30
5,-9744,-12552,4144,-1248,-989,424
6,-6768,-14148,4244,-944,-999,5
0,-3848,15940,4592,108,-312,-36
1,13824,8920,-6340,-1008,-940,-51
2,4296,14084,8916,-896,-562,-122
3,-5988,13880,4996,4192,77,139
4,-1652,16076,3308,-1760,349,-338
5,-9452,-13068,4960,-1232,-1287,378
6,-6284,-14760,5404,-992,-1314,-116
0,-3432,16300,4884,95,-214,1
1,13912,8864,-4536,-992,-874,16
2,4324,14856,7016,-896,-493,3
3,-6832,13932,6728,4112,645,331
4,-1384,15944,2924,-1792,392,-52
5,-10064,-12484,5200,-1248,-846,-218
6,-6312,-14676,5740,-976,-612,-430
0,-3656,16272,4856,168,195,66
1,13520,8924,-4948,-960,-668,149
2,3656,14772,7184,-896,-280,455
3,-6404,14300,4336,4128,-299,360
4,-1640,16128,3528,-1760,321,129
5,-9568,-12660,4496,-1264,-473,377
6,-6348,-14224,5196,-976,-298,-153
0,-3628,16248,4744,-87,204,94
1,13636,8860,-5220,-960,-107,529
2,4156,14764,7112,-880,-956,499
3,-6260,13888,6776,4128,-585,183
4,-1584,15940,3068,-1808,395,77
5,-9712,-12584,4936,-1264,-298,425
6,-6816,-14492,5440,-992,-62,-95
0,-3520,16072,4500,32,264,81
1,13836,9012,-5892,-944,-86,463
2,4648,14840,7312,-864,-828,357
3,-5812,14008,5800,4128,447,372
4,-1636,16032,2760,-1792,446,367
5,-9548,-13060,4820,-1232,39,188
6,-5808,-15032,5584,-976,433,-197
0,-3472,16208,4496,184,317,15
1,13068,8840,-5976,-1008,57,280
2,3956,14592,7652,-880,-552,192
3,-7096,13876,7964,4176,1587,401
4,-1468,15968,2892,-1776,538,390
5,-9704,-13136,4732,-1232,1014,-174
6,-6336,-14744,4900,-960,1455,-266
0,-3652,16204,4692,536,154,99
1,13772,8740,-5680,-960,-219,-146
2,4716,14560,7112,-896,-289,46
3,-3088,14700,1400,4128,617,448
4,-1604,16224,4048,-1808,607,81
5,-9392,-11528,4408,-1216,-729,70
6,-6380,-13388,5264,-976,-582,-531
0,-3216,16904,5064,-147,502,-112
1,14352,8744,-4932,-976,-80,471
2,5252,15728,4664,-880,-817,1029
3,-5072,14244,4584,4144,-1406,1048
4,-1536,16240,3664,-1792,114,406
5,-9480,-12316,4672,-1248,-1495,453
6,-6476,-14028,4812,-960,-1361,-385
0,-3320,15968,4260,-534,773,-369
1,13468,8896,-6280,-960,-73,1015
