1,1652,1228,14736,-656,-598,195
2,-2704,-5544,16236,-352,-717,77
3,-7624,-14728,-1624,4432,321,411
4,-3648,15620,3252,-1216,269,-94
5,-10604,-12176,2164,-752,-280,450
6,-4964,-14164,7584,-768,46,11
0,-4256,16024,4572,8,34,-78
1,1644,1324,14728,-688,-422,297
2,-2620,-5900,16248,-352,-455,195
3,-7444,-14712,-1756,4464,473,293
4,-3612,15552,2908,-1200,563,85
5,-10640,-12348,1952,-720,-204,341
6,-4996,-14144,7368,-816,142,-140
0,-4256,16048,4436,208,38,15
1,1576,1124,14532,-656,-322,270
2,-2836,-4824,16072,-320,-698,57
3,-7460,-14408,-1728,4400,366,331
4,-3720,15632,3892,-1216,460,105
5,-10484,-12108,2000,-752,-398,395
6,-4888,-13880,7356,-800,-121,-160
0,-4192,16252,4528,-24,39,38
1,1412,1352,14368,-672,-503,-21
2,-2572,-4612,16052,-352,-945,-20
3,-7420,-14404,-1704,4464,101,402
4,-3780,15752,3644,-1216,37,68
5,-10572,-12232,2172,-688,-573,467
6,-4844,-14104,7432,-816,-322,-165
0,-4284,16120,4540,-236,85,-18
1,1756,1388,14592,-672,-610,-69
2,-2408,-5256,16188,-320,-1255,57
3,-7364,-14668,-1740,4544,49,417
4,-3460,15696,3168,-1248,163,203
5,-10608,-12112,2072,-736,-567,516
6,-4772,-14148,7440,-784,-296,-73
0,-4148,16148,4636,-151,-64,11
1,1748,1388,14544,-656,-591,-99
2,-2468,-4928,15976,-336,-1374,19
3,-7336,-14684,-1780,4528,52,441
4,-3700,15580,3540,-1184,89,283
5,-10572,-12248,1972,-736,-500,557
6,-4848,-14212,7532,-768,-277,6
0,-4156,16076,4592,-200,-13,-17
1,1936,1444,14584,-672,-541,-79
2,-2376,-5468,16220,-352,-1277,65
3,-7304,-14900,-1756,4544,200,433
4,-3548,15448,3288,-1216,81,-42
5,-10496,-12332,2032,-736,-403,513
6,-4812,-14288,7440,-752,-108,19
0,-4152,15924,4512,-41,-55,-64
1,1952,1372,14580,-672,-466,47
2,-2520,-5320,16124,-336,-898,106
3,-7400,-14744,-1876,4528,357,433
4,-3380,15648,3192,-1216,433,-51
5,-10536,-12280,1856,-720,-266,417
6,-4904,-14320,7384,-752,18,18
0,-4104,16096,4728,29,-47,-31
1,1796,1328,14628,-672,-342,122
2,-2428,-5460,16268,-352,-841,71
3,-7388,-14776,-1852,4496,473,371
4,-3716,15632,3372,-1216,425,99
5,-10676,-12276,1880,-736,-200,391
6,-4984,-14264,7392,-784,81,-39
0,-4144,16092,4816,105,18,-33
1,1840,1300,14516,-688,-341,149
2,-2564,-5708,16264,-352,-694,39
3,-7384,-14716,-1932,4496,482,354
4,-3612,15656,3424,-1216,413,-68
5,-10672,-12264,1844,-752,-197,331
6,-5116,-14344,7352,-784,109,-55
0,-4172,15984,4704,172,-4,26
1,1940,1196,14652,-688,-252,222
2,-2540,-5164,15988,-320,-452,-11
3,-7332,-14636,-1920,4528,550,364
4,-3632,15772,3528,-1232,569,14
5,-10568,-12196,1836,-736,-181,331
6,-4904,-14124,7108,-784,100,-32
0,-4176,16192,4812,94,-33,-69
1,1832,1376,14196,-656,-427,222
2,-2448,-5060,15948,-320,-674,90
3,-7292,-14556,-1728,4416,383,410
4,-3656,15616,3720,-1232,406,196
5,-10528,-12144,1800,-720,-288,398
6,-4852,-14084,7344,-768,-18,18
0,-4188,15968,4648,-4,-12,-61
1,1784,1308,14548,-704,-409,199
2,-2364,-6004,16120,-320,-155,164
3,-7432,-14908,-2020,4528,578,435
4,-3580,15624,2932,-1216,479,-326
5,-10744,-12384,1956,-720,-42,345
6,-5044,-14480,7364,-800,233,-21
0,-4192,16084,4748,354,-93,2
1,1664,1224,14428,-656,-173,288
2,-2564,-5380,16132,-352,-276,40
3,-7468,-14608,-1832,4464,703,321
4,-3616,15712,3660,-1216,770,97
5,-10584,-12064,1924,-720,-82,253
6,-5060,-13964,7412,-816,160,-197
0,-4112,16100,4768,178,42,29
1,1628,1296,14396,-672,-315,123
2,-2780,-5584,16296,-352,-375,-11
3,-7392,-14424,-1744,4480,359,291
4,-3588,15684,3764,-1168,387,80
5,-10528,-12196,1964,-720,-396,221
6,-4852,-14212,7536,-800,-42,-305
0,-4188,16080,4444,82,137,30
1,1856,1452,14516,-656,-387,141
2,-2612,-5128,16100,-336,-138,-6
3,-7340,-14740,-1756,4528,344,272
4,-3612,15764,3368,-1184,315,-193
5,-10648,-12360,1900,-752,-298,255
6,-4804,-14336,7424,-784,26,-179
0,-4272,16104,4628,129,-3,-28
1,1736,1536,14580,-688,-329,142
2,-2552,-5044,16016,-352,-342,56
3,-7264,-14548,-1688,4496,405,424
4,-3660,15632,3416,-1184,589,177
5,-10484,-12092,1976,-720,-265,395
6,-4784,-14040,7348,-800,-50,-52
0,-4188,16156,4700,74,-83,-72
1,1856,1552,14588,-640,-493,167
2,-2660,-5352,16248,-352,-636,35
3,-7396,-14744,-1612,4528,369,530
4,-3628,15728,3600,-1200,268,49
5,-10552,-12344,2036,-752,-231,500
6,-4908,-14316,7436,-736,16,72
0,-4196,16060,4448,45,-120,-108
1,1740,1316,14724,-656,-415,174
2,-2612,-5196,15864,-352,-615,59
3,-7396,-14688,-1784,4528,461,442
4,-3552,15656,3228,-1216,440,-65
5,-10440,-12256,2044,-736,-158,431
6,-4764,-13984,7272,-784,77,-8
0,-4100,16160,4564,62,-69,-120
1,1636,1572,14268,-688,-662,230
2,-2536,-4636,16064,-368,-1024,169
3,-7324,-14564,-1572,4544,165,484
4,-3808,15632,3728,-1216,327,406
5,-10448,-12264,1984,-720,-382,485
6,-4800,-14284,7376,-800,-66,59
0,-4200,15956,4532,-160,-6,-128
1,1912,1312,14708,-704,-596,165
2,-2484,-6216,16456,-320,-494,96
3,-7408,-14860,-1900,4496,370,546
4,-3236,15552,2900,-1232,258,-238
5,-10640,-12480,1944,-752,-211,421
6,-4884,-14440,7480,-800,128,-61
0,-4072,15904,4532,263,-108,10
1,1840,1144,14704,-688,-260,230
2,-2596,-5184,15972,-336,-316,-5
3,-7540,-14604,-1832,4496,548,396
4,-3692,15752,3412,-1216,667,-217
5,-10636,-12044,2024,-720,-179,299
6,-5008,-13864,7384,-784,51,-173
0,-4128,16212,4800,116,41,12
1,1568,1356,14336,-672,-396,117
2,-2596,-4960,16172,-320,-466,-73
3,-7404,-14416,-1688,4528,250,321
4,-3620,15564,3680,-1216,357,295
5,-10472,-12064,1920,-720,-530,270
6,-4800,-14060,7320,-832,-171,-177
0,-4216,16052,4608,-118,104,-7
1,1836,1556,14564,-656,-547,47
2,-2212,-5216,16176,-352,-470,60
3,-7260,-14728,-1820,4592,203,361
4,-3832,15644,3424,-1232,187,-110
5,-10624,-12208,1900,-704,-422,386
6,-4720,-14196,7348,-784,-114,-134
0,-4320,16188,4728,-5,-62,-120
1,1776,1648,14324,-656,-618,61
2,-2408,-5112,16080,-320,-1007,145
3,-7276,-14572,-1652,4528,164,531
4,-3848,15720,3440,-1216,338,258
5,-10512,-12176,1932,-736,-380,543
6,-4852,-14120,7376,-768,-154,63
0,-4140,16100,4796,-155,-161,-132
1,1852,1332,14660,-672,-693,73
2,-2648,-5204,16176,-336,-971,84
3,-7376,-14688,-1848,4432,187,547
4,-3532,15516,3528,-1216,255,190
5,-10540,-12332,1896,-704,-326,569
6,-4992,-14268,7424,-784,-74,97
0,-4080,15976,4708,-99,-128,-111
1,1892,1344,14648,-656,-510,16
2,-2680,-5948,16328,-320,-516,78
3,-7420,-14644,-1880,4432,296,517
4,-3504,15576,3436,-1232,249,-212
5,-10512,-12160,1992,-704,-348,480
6,-5052,-13924,7416,-800,-134,-31
0,-4020,16068,4924,-132,32,-39
1,1816,1304,14568,-720,-582,7
2,-2640,-5380,16184,-352,-655,9
3,-7336,-14736,-1792,4528,171,375
4,-3508,15680,3384,-1216,347,99
5,-10604,-12360,1796,-704,-399,405
6,-4976,-14400,7324,-816,-63,-62
0,-4208,16060,4632,-36,-6,-53
1,1788,1468,14564,-656,-486,84
2,-2484,-5636,16088,-368,-383,94
3,-7240,-14888,-1912,4496,373,418
4,-3712,15624,3476,-1200,388,33
5,-10552,-12392,1756,-704,-200,441
6,-4824,-14264,7212,-768,68,40
0,-4228,16064,4616,115,-210,-55
1,1916,1424,14396,-704,-450,209
2,-2524,-5228,16096,-352,-558,50
3,-7284,-14660,-1848,4496,445,580
4,-3892,15484,3664,-1248,449,-122
5,-10556,-12296,1880,-736,-125,529
6,-4944,-14060,7292,-816,61,166
0,-4260,16136,4780,-2,-203,-140
1,1804,1332,14576,-672,-543,137
2,-2600,-5764,16344,-336,-486,118
3,-7352,-14792,-1916,4480,432,633
4,-3720,15568,3336,-1232,397,23
5,-10640,-12352,1848,-736,-149,497
6,-5024,-14324,7236,-768,139,112
0,-4112,16048,4644,154,-103,-98
1,1796,1100,14476,-656,-365,160
2,-2868,-5640,15980,-352,-365,86
3,-7528,-14640,-1836,4464,509,462
4,-3576,15568,3744,-1200,518,-94
5,-10628,-12156,2012,-720,-209,368
6,-5140,-14108,7376,-784,89,-61
0,-4176,16116,4936,92,37,-48
1,1860,1164,14404,-656,-436,165
2,-2564,-5060,15804,-320,-604,44
3,-7448,-14368,-1900,4400,240,334
4,-3764,15624,3556,-1168,421,108
5,-10616,-12128,1944,-736,-433,246
6,-4816,-14308,7524,-784,-79,-192
0,-4196,16120,4692,-10,139,-61
1,1756,1316,14648,-624,-457,97
2,-2468,-5400,16100,-336,-719,-23
3,-7396,-14804,-1824,4496,279,269
4,-3708,15564,3380,-1216,310,119
5,-10552,-12172,1772,-752,-332,329
6,-4844,-14364,7248,-800,-6,-70
0,-4288,15996,4708,66,-65,-13
1,1796,1352,14580,-672,-376,43
2,-2596,-5416,16044,-352,-522,40
3,-7360,-14752,-1856,4544,437,414
4,-3712,15624,3376,-1216,469,-46
5,-10620,-12232,1804,-736,-167,407
6,-5036,-14320,7420,-768,90,34
0,-4164,16148,4672,144,-107,-47
1,1828,1228,14632,-688,-303,93
2,-2616,-5496,16216,-320,-192,181
3,-7436,-14668,-1704,4528,253,270
4,-3408,15596,3232,-1216,355,131
5,-10608,-12228,2068,-752,-490,135
6,-4932,-14356,7600,-816,-36,-56
0,-4268,15972,4516,82,129,-14
1,1812,1376,14372,-656,-295,-30
2,-2760,-5212,15804,-320,-225,187
3,-7492,-14588,-1824,4592,385,259
4,-3540,15748,3392,-1248,386,-33
5,-10572,-12196,2008,-720,-382,212
6,-4936,-14216,7392,-768,-81,-107
0,-4288,16176,4608,96,34,30
1,1720,1320,14532,-672,-291,-91
2,-2528,-5312,16076,-352,-335,228
3,-7496,-14808,-1696,4464,487,262
4,-3796,15708,3368,-1200,478,188
5,-10620,-12340,1924,-720,-254,355
6,-4932,-14384,7388,-784,88,37
0,-4288,15872,4672,177,26,-1
1,2028,1264,14840,-656,-144,67
2,-2692,-6036,16420,-368,-92,104
3,-7528,-14924,-1968,4496,785,259
4,-3572,15556,3240,-1200,676,-151
5,-10820,-12392,2032,-736,28,277
6,-5148,-14516,7552,-784,350,-53
0,-4356,16112,4832,512,-37,69
1,1892,1316,14744,-640,-4,315
2,-2864,-5324,16160,-320,-33,13
3,-7480,-14432,-1868,4528,875,264
4,-3896,15616,3512,-1216,951,8
5,-10600,-12100,1940,-752,52,340
6,-4844,-13892,7448,-768,293,-84
0,-4196,16176,4724,326,96,40
1,1556,1316,14400,-656,-298,281
2,-2496,-4596,15796,-336,-645,17
3,-7368,-14360,-1756,4432,521,263
4,-3836,15692,3588,-1216,599,192
5,-10368,-12064,1956,-752,-194,412
6,-4872,-13896,7328,-816,51,-132
0,-4272,16184,4552,99,5,-55
1,1716,1532,14480,-640,-533,192
2,-2560,-5212,16188,-336,-640,127
3,-7328,-14456,-1660,4528,304,440
4,-3612,15756,3340,-1216,299,-50
5,-10504,-12128,1948,-736,-312,518
6,-4824,-14020,7384,-784,-48,-77
0,-4176,16080,4580,23,-59,-51
1,1720,1384,14608,-672,-579,214
