1,6608,4216,13036,-384,-642,-162
2,-644,-5960,16868,0,-557,356
3,-7588,-13164,-7352,5008,275,689
4,-3796,15564,2684,-896,464,-561
5,-10756,-12376,1044,-752,-216,695
6,-6928,-14580,4300,-208,-18,245
0,-5008,15600,5932,101,-270,61
1,6696,3968,13100,-384,-325,-85
2,-716,-6104,17008,-16,-50,44
3,-7704,-13048,-7324,4928,573,551
4,-3664,15520,2988,-896,465,5
5,-10872,-12364,1196,-768,-81,428
6,-7260,-14600,4252,-192,226,9
0,-4964,15648,5936,299,-16,119
1,6620,3832,12852,-368,-87,154
2,-1252,-4616,15980,0,31,-202
3,-7632,-12412,-7128,4928,604,319
4,-3228,15784,3420,-880,616,329
5,-10708,-11676,1212,-768,-288,201
6,-7064,-14108,4056,-176,-36,-275
0,-5052,15868,5936,99,159,112
1,6436,4412,12792,-384,-297,257
2,-360,-4156,16156,16,-442,-77
3,-7404,-12908,-7156,4944,347,257
4,-3928,15752,3044,-896,475,-60
5,-10512,-12196,1096,-736,-324,325
6,-6564,-14540,4180,-192,-26,-81
0,-5100,15696,5748,92,-81,-32
1,6304,4312,12672,-432,-454,183
2,-1336,-4164,16192,-16,-1066,-589
3,-7308,-12752,-6860,4992,352,647
4,-3728,15764,3340,-864,449,-314
5,-10568,-12096,1092,-752,-302,623
6,-6820,-14460,4196,-192,-115,147
0,-4932,15696,5660,19,-267,7
1,6488,4268,12744,-384,-505,29
2,-432,-5720,16920,-16,-230,-116
3,-7540,-12884,-7140,5008,419,627
4,-3684,15628,2832,-912,427,-254
5,-10584,-11956,1220,-784,-205,471
6,-7016,-14328,4344,-208,-2,79
0,-4804,15796,5940,1,-56,-86
1,6236,4228,12712,-384,-450,126
2,-548,-4416,16324,0,-703,-121
3,-7392,-12776,-6956,4896,251,367
4,-3472,15664,3280,-880,326,32
5,-10600,-12096,1180,-752,-363,383
6,-6704,-14412,4328,-192,-132,-16
0,-4860,15768,5736,-159,-27,-176
1,6512,4428,12772,-400,-546,-32
2,-268,-4364,16364,-16,-768,172
3,-7352,-12960,-7236,4928,234,364
4,-3768,15688,2992,-864,304,-9
5,-10496,-12120,1068,-720,-297,504
6,-6804,-14520,4108,-176,-39,150
0,-4892,15648,5604,-54,-132,-237
1,6680,4360,12912,-416,-594,-46
2,-484,-5804,16724,32,-529,429
3,-7476,-13052,-7416,4944,430,451
4,-3684,15572,2616,-880,409,-317
5,-10684,-12248,1052,-752,-110,473
6,-6960,-14588,4232,-224,159,52
0,-4800,15676,6012,156,-80,-137
1,6312,4172,12564,-384,-482,199
2,-360,-5232,16796,-16,-561,323
3,-7540,-12752,-7192,4928,382,358
4,-3432,15720,3408,-896,387,63
5,-10684,-12004,1004,-752,-266,332
6,-6916,-14336,4196,-192,57,-108
0,-4800,15764,5880,-42,106,-196
1,6340,4176,12700,-384,-441,285
2,-348,-4996,16332,0,-619,344
3,-7472,-12720,-7204,4960,188,221
4,-3572,15808,3016,-896,445,99
5,-10520,-11872,1024,-736,-448,257
6,-6872,-14084,4140,-192,-154,-214
0,-4940,15892,5908,-159,213,-226
1,6248,4436,12572,-368,-603,265
2,-656,-4732,16692,32,-729,373
3,-7464,-12940,-7212,4960,35,196
4,-3648,15752,3308,-896,269,-119
5,-10648,-12180,956,-752,-631,269
6,-6756,-14508,4232,-192,-271,-126
0,-5088,15664,5716,-219,120,-189
1,6304,4340,12744,-352,-579,-26
2,-780,-4968,16648,0,-591,128
3,-7396,-12856,-7180,5008,84,390
4,-3892,15796,3124,-896,278,-74
5,-10712,-12260,1064,-768,-516,467
6,-6832,-14608,4312,-192,-288,76
0,-5060,15772,5840,-216,-22,-147
1,6652,4304,12924,-400,-515,-94
2,-472,-6104,16948,-16,-877,-232
3,-7552,-13264,-7364,4992,352,518
4,-3824,15552,2740,-848,345,-251
5,-10872,-12448,1012,-768,-141,447
6,-7176,-15048,4332,-176,191,71
0,-5176,15584,5916,309,-149,-148
1,6796,3824,13280,-416,-297,130
2,-1072,-5560,16452,32,-457,4
3,-7696,-12976,-7256,4928,832,431
4,-3460,15668,3076,-880,611,149
5,-10812,-12220,1256,-768,197,306
6,-7292,-14520,4456,-192,476,53
0,-5112,15676,5896,477,-115,-17
1,6624,3812,13028,-400,-161,351
