1,13972,8500,-3684,-1472,-416,359
2,104,13140,10508,-1264,-1210,106
3,-4476,-15416,-3048,3536,181,335
4,-804,14560,7448,-2256,339,-117
5,-10520,-11972,-1168,-1424,-436,359
6,-7124,-14892,296,-1616,-200,-116
0,-2760,15648,7952,73,16,32
1,14420,8632,-3972,-1488,-517,199
2,528,13048,10872,-1248,-991,-72
3,-4608,-15676,-2920,3440,352,344
4,-1208,14384,7128,-2256,447,5
5,-10452,-12112,-1112,-1440,-236,349
6,-6820,-14928,244,-1632,21,-82
0,-2768,15784,7900,148,-6,18
1,14288,8348,-3848,-1456,-436,145
2,388,12992,10900,-1264,-909,-24
3,-4732,-15628,-2988,3536,532,353
4,-856,14480,7136,-2256,447,-20
5,-10416,-11912,-1220,-1392,-170,337
6,-6728,-14764,280,-1632,74,-114
0,-2668,15844,7920,173,35,49
1,14176,8512,-3772,-1472,-328,84
2,660,12896,11392,-1280,-335,-42
3,-4516,-15692,-3076,3520,596,322
4,-1032,14396,7092,-2224,516,23
5,-10416,-12072,-1292,-1424,-91,318
6,-6684,-14820,212,-1648,237,-97
0,-2700,15856,7956,227,4,57
1,14088,8440,-3916,-1456,-418,14
2,536,13040,10784,-1280,-83,-42
3,-4400,-15424,-3164,3552,694,334
4,-876,14444,7308,-2224,498,-4
5,-10300,-11764,-1296,-1440,-118,302
6,-6780,-14432,-16,-1680,91,-136
0,-2456,16048,8044,140,-1,-4
1,14496,8424,-3692,-1504,-418,152
2,1272,13400,9944,-1312,-584,134
3,-4392,-15412,-2916,3472,275,305
4,-996,14464,7584,-2240,347,30
5,-10196,-11936,-1208,-1440,-400,362
6,-6752,-14700,120,-1648,-181,-115
0,-2580,16032,7916,-88,87,-154
1,14568,8456,-3900,-1472,-422,446
2,1032,13404,9984,-1312,-1047,239
3,-4332,-15648,-2928,3536,37,352
4,-904,14504,7288,-2256,215,236
5,-10300,-12208,-1520,-1440,-432,437
6,-6764,-15048,168,-1616,-183,-30
0,-2704,15772,7800,-58,-12,-204
1,14140,8440,-3920,-1456,-414,289
2,456,12668,11944,-1312,-815,122
3,-4592,-15832,-3000,3488,238,481
4,-964,14484,7152,-2224,308,-10
5,-10504,-12256,-1172,-1408,-236,433
6,-7016,-15076,296,-1648,50,46
0,-2572,15808,8124,112,3,-169
1,14292,8508,-3444,-1488,-476,197
2,364,13428,9860,-1312,-972,27
3,-4572,-15544,-3024,3440,456,346
4,-972,14432,7564,-2256,357,168
5,-10468,-11948,-1308,-1408,-149,359
6,-7068,-14812,348,-1680,60,20
0,-2692,15952,8036,0,78,-146
1,13676,8580,-3752,-1472,-311,292
2,776,12944,11168,-1312,-1024,104
3,-4672,-15268,-3312,3440,136,308
4,-872,14516,7536,-2224,294,136
5,-10476,-11836,-1260,-1440,-507,358
6,-6908,-14760,120,-1632,-282,-121
0,-2780,15868,8048,-123,39,-158
1,14112,8548,-3528,-1472,-644,423
2,436,13308,10488,-1296,-1253,67
3,-4452,-15752,-2860,3520,187,403
4,-1104,14568,7212,-2208,236,25
5,-10552,-11976,-1336,-1408,-320,512
6,-6776,-14736,-128,-1664,-129,-4
0,-2892,15840,7972,-64,-94,-95
1,14296,8616,-4008,-1472,-605,297
2,796,13188,10568,-1280,-1386,-57
3,-4580,-15516,-3276,3552,36,444
4,-1068,14388,7244,-2272,232,-18
