1,9348,10204,6868,-1568,-689,238
2,2384,12908,10984,-1200,-1540,446
3,-5240,-15532,1608,3904,-383,297
4,-4984,11776,10140,1984,259,-527
5,-7092,-4624,15884,-2032,-757,841
6,-4916,-14384,7416,1472,-539,208
0,-4388,15260,7492,-510,439,-325
1,9684,10148,7016,-1568,-642,536
2,2080,13072,10432,-1200,-996,647
3,-5296,-15912,1440,3872,-168,93
4,-4776,11748,10076,1968,263,-532
5,-7304,-5336,15980,-2064,-507,621
6,-4552,-14996,7356,1472,-110,168
0,-4856,15056,7180,-199,268,-243
1,9280,10360,6660,-1584,-498,319
2,1552,12496,11632,-1232,-360,137
3,-4932,-15960,1604,3872,527,241
4,-4940,11696,9852,2000,289,-100
5,-7656,-5496,16176,-2064,-16,347
6,-4644,-14928,7316,1488,364,-105
0,-4620,15056,7428,438,-352,32
1,10104,10136,6968,-1552,-188,1
2,1740,12964,10748,-1216,508,-259
3,-5236,-15784,1296,3872,1059,295
4,-4852,11700,10160,1984,495,406
5,-7268,-4900,15916,-2064,233,-9
6,-4768,-14364,7228,1440,617,-34
0,-4684,15612,7780,629,-156,44
1,9156,10192,6468,-1536,-200,131
2,2416,13832,9276,-1184,-352,-272
3,-4988,-15004,1536,3776,716,490
4,-5160,11724,10704,1984,416,173
5,-6384,-4164,15496,-2048,-208,348
6,-4316,-13584,7200,1456,-54,-142
0,-4564,15940,7880,-155,-187,-193
1,8744,10340,6472,-1552,-815,39
2,2216,14240,8728,-1200,-1561,14
3,-5060,-15040,1872,3840,-219,692
4,-5112,11836,10480,1968,224,-276
5,-6656,-4104,15736,-2016,-738,1034
6,-4560,-13916,7732,1456,-716,-194
0,-4568,15652,7624,-812,25,-395
1,9468,10292,6612,-1568,-1076,72
2,1932,13604,10240,-1216,-1716,420
3,-5384,-15584,1652,3776,-591,535
4,-4928,11832,10012,2000,119,-342
5,-7184,-4812,16004,-2064,-786,1065
6,-4728,-14348,7292,1440,-720,-123
0,-4752,15256,7412,-701,167,-434
1,9748,10192,7056,-1600,-908,125
2,1648,12376,12192,-1200,-1003,339
3,-5408,-16020,1512,3904,-201,459
4,-5028,11636,9840,1952,155,-128
5,-7912,-5208,16260,-2032,-445,844
6,-5108,-15012,7376,1440,-198,-91
0,-4684,15076,7776,-86,-52,-243
1,9940,10012,7352,-1584,-530,55
2,1616,12568,11484,-1216,-147,86
3,-5396,-16000,1288,3792,499,278
4,-5064,11732,10160,1968,242,32
5,-7900,-5308,16160,-2032,25,330
6,-4952,-14896,7228,1456,343,-14
0,-4592,15296,8016,369,-91,-43
1,9992,10024,7144,-1552,-196,214
2,1872,12796,11316,-1248,288,-75
3,-5220,-15856,1156,3904,903,165
4,-4976,11700,10344,2000,364,120
5,-7408,-5028,15892,-2016,191,152
6,-4764,-14616,7124,1472,525,68
0,-4744,15616,7988,521,-52,-65
1,9556,10376,6648,-1584,-406,324
2,2180,13720,10156,-1232,-221,-87
3,-5144,-15600,1432,3776,777,287
4,-5232,11708,10600,1984,435,56
5,-7144,-4648,15792,-2048,22,278
6,-4776,-14348,7320,1456,302,-72
0,-4680,15856,8016,269,-122,-121
1,9392,10256,6568,-1568,-609,196
2,1952,14116,9432,-1200,-1033,-27
3,-5240,-15312,1352,3776,332,380
4,-5132,11792,10844,2000,495,-63
5,-7116,-4364,15680,-2048,-432,557
6,-4784,-14132,7420,1456,-265,-28
0,-4752,15776,7864,-333,10,-173
1,9256,10256,6856,-1616,-682,195
2,2180,13184,10884,-1200,-1672,122
3,-5304,-15688,1456,3872,-101,349
4,-5076,11780,10416,1968,415,-287
5,-7196,-4772,15924,-2048,-568,722
6,-4900,-14572,7260,1456,-319,22
0,-4600,15356,7624,-328,196,-276
1,10044,10292,6916,-1584,-707,338
